scenario,seed,episode,relation_type,edge_count,edge_share,relation_utility
noisy_untrusted_external,7,10,CLOR,24,0.21052631578947367,0.8
noisy_untrusted_external,7,10,CWOR,36,0.3157894736842105,0.8
noisy_untrusted_external,7,10,SOR,24,0.21052631578947367,0.6
noisy_untrusted_external,7,10,POR,25,0.21929824561403508,0.5
nominal,7,11,OOR,3,0.031914893617021274,1.0
nominal,7,11,CLOR,13,0.13829787234042554,0.8
nominal,7,11,CWOR,30,0.3191489361702128,0.8
nominal,7,11,SOR,28,0.2978723404255319,0.6
nominal,7,11,POR,20,0.2127659574468085,0.5
degraded_ego,7,11,OOR,3,0.029411764705882353,1.0
degraded_ego,7,11,CLOR,14,0.13725490196078433,0.8
degraded_ego,7,11,CWOR,23,0.22549019607843138,0.8
degraded_ego,7,11,SOR,34,0.3333333333333333,0.6
degraded_ego,7,11,POR,28,0.27450980392156865,0.5
ambiguous_local_context,7,11,OOR,3,0.03260869565217391,1.0
ambiguous_local_context,7,11,CLOR,11,0.11956521739130435,0.8
ambiguous_local_context,7,11,CWOR,31,0.33695652173913043,0.8
ambiguous_local_context,7,11,SOR,24,0.2608695652173913,0.6
ambiguous_local_context,7,11,POR,23,0.25,0.5
noisy_untrusted_external,7,11,OOR,3,0.0297029702970297,1.0
noisy_untrusted_external,7,11,CLOR,12,0.1188118811881188,0.8
noisy_untrusted_external,7,11,CWOR,30,0.297029702970297,0.8
noisy_untrusted_external,7,11,SOR,31,0.3069306930693069,0.6
noisy_untrusted_external,7,11,POR,25,0.24752475247524752,0.5
nominal,7,12,OOR,3,0.02912621359223301,1.0
nominal,7,12,CLOR,16,0.1553398058252427,0.8
nominal,7,12,CWOR,28,0.27184466019417475,0.8
nominal,7,12,SOR,30,0.2912621359223301,0.6
nominal,7,12,POR,26,0.2524271844660194,0.5
degraded_ego,7,12,OOR,3,0.031578947368421054,1.0
degraded_ego,7,12,CLOR,15,0.15789473684210525,0.8
degraded_ego,7,12,CWOR,27,0.28421052631578947,0.8
degraded_ego,7,12,SOR,31,0.3263157894736842,0.6
degraded_ego,7,12,POR,19,0.2,0.5
ambiguous_local_context,7,12,OOR,3,0.03225806451612903,1.0
ambiguous_local_context,7,12,CLOR,10,0.10752688172043011,0.8
ambiguous_local_context,7,12,CWOR,24,0.25806451612903225,0.8
ambiguous_local_context,7,12,SOR,25,0.26881720430107525,0.6
ambiguous_local_context,7,12,POR,31,0.3333333333333333,0.5
noisy_untrusted_external,7,12,OOR,3,0.030303030303030304,1.0
noisy_untrusted_external,7,12,CLOR,16,0.16161616161616163,0.8
noisy_untrusted_external,7,12,CWOR,28,0.2828282828282828,0.8
noisy_untrusted_external,7,12,SOR,29,0.29292929292929293,0.6
noisy_untrusted_external,7,12,POR,23,0.23232323232323232,0.5
nominal,7,13,OOR,4,0.04081632653061224,1.0
nominal,7,13,CLOR,11,0.11224489795918367,0.8
nominal,7,13,CWOR,34,0.3469387755102041,0.8
nominal,7,13,SOR,27,0.2755102040816326,0.6
nominal,7,13,POR,22,0.22448979591836735,0.5
degraded_ego,7,13,OOR,3,0.03614457831325301,1.0
degraded_ego,7,13,CLOR,12,0.14457831325301204,0.8
degraded_ego,7,13,CWOR,27,0.3253012048192771,0.8
degraded_ego,7,13,SOR,22,0.26506024096385544,0.6
degraded_ego,7,13,POR,19,0.2289156626506024,0.5
ambiguous_local_context,7,13,OOR,3,0.03260869565217391,1.0
ambiguous_local_context,7,13,CLOR,12,0.13043478260869565,0.8
ambiguous_local_context,7,13,CWOR,28,0.30434782608695654,0.8
ambiguous_local_context,7,13,SOR,30,0.32608695652173914,0.6
ambiguous_local_context,7,13,POR,19,0.20652173913043478,0.5
noisy_untrusted_external,7,13,OOR,3,0.02702702702702703,1.0
noisy_untrusted_external,7,13,CLOR,13,0.11711711711711711,0.8
noisy_untrusted_external,7,13,CWOR,38,0.34234234234234234,0.8
noisy_untrusted_external,7,13,SOR,31,0.27927927927927926,0.6
noisy_untrusted_external,7,13,POR,26,0.23423423423423423,0.5
nominal,7,14,OOR,3,0.030612244897959183,1.0
nominal,7,14,CLOR,20,0.20408163265306123,0.8
nominal,7,14,CWOR,30,0.30612244897959184,0.8
nominal,7,14,SOR,21,0.21428571428571427,0.6
nominal,7,14,POR,24,0.24489795918367346,0.5
degraded_ego,7,14,OOR,3,0.0375,1.0
degraded_ego,7,14,CLOR,12,0.15,0.8
degraded_ego,7,14,CWOR,28,0.35,0.8
degraded_ego,7,14,SOR,22,0.275,0.6
degraded_ego,7,14,POR,15,0.1875,0.5
ambiguous_local_context,7,14,OOR,3,0.030927835051546393,1.0
ambiguous_local_context,7,14,CLOR,15,0.15463917525773196,0.8
ambiguous_local_context,7,14,CWOR,25,0.25773195876288657,0.8
ambiguous_local_context,7,14,SOR,33,0.3402061855670103,0.6
ambiguous_local_context,7,14,POR,21,0.21649484536082475,0.5
noisy_untrusted_external,7,14,OOR,3,0.03,1.0
noisy_untrusted_external,7,14,CLOR,14,0.14,0.8
noisy_untrusted_external,7,14,CWOR,34,0.34,0.8
noisy_untrusted_external,7,14,SOR,24,0.24,0.6
noisy_untrusted_external,7,14,POR,25,0.25,0.5
nominal,7,15,OOR,4,0.037383177570093455,1.0
nominal,7,15,CLOR,16,0.14953271028037382,0.8
nominal,7,15,CWOR,30,0.2803738317757009,0.8
nominal,7,15,SOR,24,0.22429906542056074,0.6
nominal,7,15,POR,33,0.308411214953271,0.5
degraded_ego,7,15,OOR,3,0.03296703296703297,1.0
degraded_ego,7,15,CLOR,14,0.15384615384615385,0.8
degraded_ego,7,15,CWOR,29,0.31868131868131866,0.8
degraded_ego,7,15,SOR,25,0.27472527472527475,0.6
degraded_ego,7,15,POR,20,0.21978021978021978,0.5
ambiguous_local_context,7,15,OOR,3,0.028846153846153848,1.0
ambiguous_local_context,7,15,CLOR,12,0.11538461538461539,0.8
ambiguous_local_context,7,15,CWOR,33,0.3173076923076923,0.8
ambiguous_local_context,7,15,SOR,31,0.2980769230769231,0.6
ambiguous_local_context,7,15,POR,25,0.2403846153846154,0.5
noisy_untrusted_external,7,15,OOR,4,0.043478260869565216,1.0
noisy_untrusted_external,7,15,CLOR,14,0.15217391304347827,0.8
noisy_untrusted_external,7,15,CWOR,29,0.31521739130434784,0.8
noisy_untrusted_external,7,15,SOR,16,0.17391304347826086,0.6
noisy_untrusted_external,7,15,POR,29,0.31521739130434784,0.5
nominal,7,16,OOR,4,0.042105263157894736,1.0
nominal,7,16,CLOR,17,0.17894736842105263,0.8
nominal,7,16,CWOR,32,0.3368421052631579,0.8
nominal,7,16,SOR,23,0.24210526315789474,0.6
nominal,7,16,POR,19,0.2,0.5
degraded_ego,7,16,OOR,3,0.03125,1.0
degraded_ego,7,16,CLOR,12,0.125,0.8
degraded_ego,7,16,CWOR,30,0.3125,0.8
degraded_ego,7,16,SOR,28,0.2916666666666667,0.6
degraded_ego,7,16,POR,23,0.23958333333333334,0.5
ambiguous_local_context,7,16,OOR,3,0.02727272727272727,1.0
ambiguous_local_context,7,16,CLOR,13,0.11818181818181818,0.8
ambiguous_local_context,7,16,CWOR,36,0.32727272727272727,0.8
ambiguous_local_context,7,16,SOR,32,0.2909090909090909,0.6
ambiguous_local_context,7,16,POR,26,0.23636363636363636,0.5
noisy_untrusted_external,7,16,OOR,3,0.031914893617021274,1.0
noisy_untrusted_external,7,16,CLOR,14,0.14893617021276595,0.8
noisy_untrusted_external,7,16,CWOR,27,0.2872340425531915,0.8
noisy_untrusted_external,7,16,SOR,26,0.2765957446808511,0.6
noisy_untrusted_external,7,16,POR,24,0.2553191489361702,0.5
nominal,7,17,OOR,3,0.03,1.0
nominal,7,17,CLOR,16,0.16,0.8
nominal,7,17,CWOR,30,0.3,0.8
nominal,7,17,SOR,29,0.29,0.6
nominal,7,17,POR,22,0.22,0.5
degraded_ego,7,17,OOR,4,0.0392156862745098,1.0
degraded_ego,7,17,CLOR,12,0.11764705882352941,0.8
degraded_ego,7,17,CWOR,28,0.27450980392156865,0.8
degraded_ego,7,17,SOR,38,0.37254901960784315,0.6
degraded_ego,7,17,POR,20,0.19607843137254902,0.5
ambiguous_local_context,7,17,OOR,3,0.031914893617021274,1.0
ambiguous_local_context,7,17,CLOR,13,0.13829787234042554,0.8
ambiguous_local_context,7,17,CWOR,31,0.32978723404255317,0.8
ambiguous_local_context,7,17,SOR,25,0.26595744680851063,0.6
ambiguous_local_context,7,17,POR,22,0.23404255319148937,0.5
noisy_untrusted_external,7,17,OOR,3,0.029411764705882353,1.0
noisy_untrusted_external,7,17,CLOR,15,0.14705882352941177,0.8
noisy_untrusted_external,7,17,CWOR,31,0.30392156862745096,0.8
noisy_untrusted_external,7,17,SOR,26,0.2549019607843137,0.6
noisy_untrusted_external,7,17,POR,27,0.2647058823529412,0.5
nominal,7,18,OOR,3,0.03296703296703297,1.0
nominal,7,18,CLOR,9,0.0989010989010989,0.8
nominal,7,18,CWOR,28,0.3076923076923077,0.8
nominal,7,18,SOR,24,0.26373626373626374,0.6
nominal,7,18,POR,27,0.2967032967032967,0.5
degraded_ego,7,18,OOR,3,0.03225806451612903,1.0
degraded_ego,7,18,CLOR,12,0.12903225806451613,0.8
degraded_ego,7,18,CWOR,25,0.26881720430107525,0.8
degraded_ego,7,18,SOR,26,0.27956989247311825,0.6
degraded_ego,7,18,POR,27,0.2903225806451613,0.5
ambiguous_local_context,7,18,OOR,3,0.028846153846153848,1.0
ambiguous_local_context,7,18,CLOR,12,0.11538461538461539,0.8
ambiguous_local_context,7,18,CWOR,34,0.3269230769230769,0.8
ambiguous_local_context,7,18,SOR,21,0.20192307692307693,0.6
ambiguous_local_context,7,18,POR,34,0.3269230769230769,0.5
noisy_untrusted_external,7,18,OOR,4,0.0392156862745098,1.0
noisy_untrusted_external,7,18,CLOR,14,0.13725490196078433,0.8
noisy_untrusted_external,7,18,CWOR,30,0.29411764705882354,0.8
noisy_untrusted_external,7,18,SOR,30,0.29411764705882354,0.6
noisy_untrusted_external,7,18,POR,24,0.23529411764705882,0.5
nominal,7,19,OOR,4,0.04040404040404041,1.0
nominal,7,19,CLOR,15,0.15151515151515152,0.8
nominal,7,19,CWOR,31,0.31313131313131315,0.8
nominal,7,19,SOR,25,0.25252525252525254,0.6
nominal,7,19,POR,24,0.24242424242424243,0.5
degraded_ego,7,19,OOR,3,0.03409090909090909,1.0
degraded_ego,7,19,CLOR,5,0.056818181818181816,0.8
degraded_ego,7,19,CWOR,31,0.3522727272727273,0.8
degraded_ego,7,19,SOR,32,0.36363636363636365,0.6
degraded_ego,7,19,POR,17,0.19318181818181818,0.5
ambiguous_local_context,7,19,OOR,3,0.031578947368421054,1.0
ambiguous_local_context,7,19,CLOR,15,0.15789473684210525,0.8
ambiguous_local_context,7,19,CWOR,30,0.3157894736842105,0.8
ambiguous_local_context,7,19,SOR,26,0.2736842105263158,0.6
ambiguous_local_context,7,19,POR,21,0.22105263157894736,0.5
noisy_untrusted_external,7,19,OOR,4,0.041666666666666664,1.0
noisy_untrusted_external,7,19,CLOR,22,0.22916666666666666,0.8
noisy_untrusted_external,7,19,CWOR,24,0.25,0.8
noisy_untrusted_external,7,19,SOR,25,0.2604166666666667,0.6
noisy_untrusted_external,7,19,POR,21,0.21875,0.5
nominal,7,20,OOR,3,0.031578947368421054,1.0
nominal,7,20,CLOR,17,0.17894736842105263,0.8
nominal,7,20,CWOR,28,0.29473684210526313,0.8
nominal,7,20,SOR,22,0.23157894736842105,0.6
nominal,7,20,POR,25,0.2631578947368421,0.5
degraded_ego,7,20,OOR,3,0.02912621359223301,1.0
degraded_ego,7,20,CLOR,13,0.1262135922330097,0.8
degraded_ego,7,20,CWOR,33,0.32038834951456313,0.8
degraded_ego,7,20,SOR,29,0.2815533980582524,0.6
degraded_ego,7,20,POR,25,0.24271844660194175,0.5
ambiguous_local_context,7,20,OOR,3,0.034482758620689655,1.0
ambiguous_local_context,7,20,CLOR,16,0.1839080459770115,0.8
ambiguous_local_context,7,20,CWOR,29,0.3333333333333333,0.8
ambiguous_local_context,7,20,SOR,20,0.22988505747126436,0.6
ambiguous_local_context,7,20,POR,19,0.21839080459770116,0.5
noisy_untrusted_external,7,20,OOR,3,0.030612244897959183,1.0
noisy_untrusted_external,7,20,CLOR,15,0.15306122448979592,0.8
noisy_untrusted_external,7,20,CWOR,25,0.25510204081632654,0.8
noisy_untrusted_external,7,20,SOR,28,0.2857142857142857,0.6
noisy_untrusted_external,7,20,POR,27,0.2755102040816326,0.5
nominal,7,21,OOR,3,0.031914893617021274,1.0
nominal,7,21,CLOR,20,0.2127659574468085,0.8
nominal,7,21,CWOR,28,0.2978723404255319,0.8
nominal,7,21,SOR,23,0.24468085106382978,0.6
nominal,7,21,POR,20,0.2127659574468085,0.5
degraded_ego,7,21,OOR,4,0.041237113402061855,1.0
degraded_ego,7,21,CLOR,18,0.18556701030927836,0.8
degraded_ego,7,21,CWOR,33,0.3402061855670103,0.8
degraded_ego,7,21,SOR,21,0.21649484536082475,0.6
degraded_ego,7,21,POR,21,0.21649484536082475,0.5
ambiguous_local_context,7,21,OOR,4,0.04597701149425287,1.0
ambiguous_local_context,7,21,CLOR,12,0.13793103448275862,0.8
ambiguous_local_context,7,21,CWOR,26,0.2988505747126437,0.8
ambiguous_local_context,7,21,SOR,23,0.26436781609195403,0.6
ambiguous_local_context,7,21,POR,22,0.25287356321839083,0.5
noisy_untrusted_external,7,21,OOR,5,0.05263157894736842,1.0
noisy_untrusted_external,7,21,CLOR,13,0.1368421052631579,0.8
noisy_untrusted_external,7,21,CWOR,28,0.29473684210526313,0.8
noisy_untrusted_external,7,21,SOR,20,0.21052631578947367,0.6
noisy_untrusted_external,7,21,POR,29,0.30526315789473685,0.5
nominal,7,22,OOR,3,0.033707865168539325,1.0
nominal,7,22,CLOR,13,0.14606741573033707,0.8
nominal,7,22,CWOR,32,0.3595505617977528,0.8
nominal,7,22,SOR,24,0.2696629213483146,0.6
nominal,7,22,POR,17,0.19101123595505617,0.5
degraded_ego,7,22,OOR,3,0.031914893617021274,1.0
degraded_ego,7,22,CLOR,13,0.13829787234042554,0.8
degraded_ego,7,22,CWOR,30,0.3191489361702128,0.8
degraded_ego,7,22,SOR,29,0.30851063829787234,0.6
degraded_ego,7,22,POR,19,0.20212765957446807,0.5
