scenario,previous_context_tuple,next_context_tuple,transition_count,transition_share
ambiguous_local_context,transit|commuting|high|sparse,office|focused_work|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|high|sparse,office|interacting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|low|nominal,office|focused_work|low|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|medium|degraded,transit|commuting|high|degraded,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|medium|nominal,office|focused_work|low|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|medium|nominal,public_place|commuting|high|degraded,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|medium|nominal,transit|commuting|medium|degraded,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|medium|nominal,transit|waiting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|medium|sparse,office|focused_work|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|interacting|medium|nominal,transit|commuting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|waiting|low|nominal,transit|commuting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|waiting|medium|nominal,transit|commuting|high|degraded,7,0.0005957446808510638
ambiguous_local_context,home|focused_work|low|nominal,home|resting|medium|degraded,6,0.0005106382978723404
ambiguous_local_context,home|focused_work|medium|nominal,home|focused_work|high|nominal,6,0.0005106382978723404
ambiguous_local_context,home|focused_work|medium|nominal,home|resting|high|degraded,6,0.0005106382978723404
ambiguous_local_context,home|focused_work|medium|nominal,home|resting|low|nominal,6,0.0005106382978723404
ambiguous_local_context,home|interacting|high|nominal,home|resting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,home|interacting|low|nominal,home|interacting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|high|degraded,home|resting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|high|nominal,home|interacting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|low|nominal,home|focused_work|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|low|nominal,home|interacting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|low|nominal,home|waiting|low|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|low|nominal,home|waiting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|low|nominal,transit|commuting|high|degraded,6,0.0005106382978723404
ambiguous_local_context,home|resting|low|nominal,transit|commuting|high|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|low|nominal,transit|resting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|low|sparse,home|resting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|medium|nominal,office|focused_work|low|nominal,6,0.0005106382978723404
ambiguous_local_context,home|resting|medium|nominal,transit|commuting|high|degraded,6,0.0005106382978723404
ambiguous_local_context,home|resting|medium|nominal,transit|commuting|high|sparse,6,0.0005106382978723404
ambiguous_local_context,home|waiting|low|nominal,home|resting|high|nominal,6,0.0005106382978723404
ambiguous_local_context,home|waiting|low|nominal,home|resting|low|nominal,6,0.0005106382978723404
ambiguous_local_context,home|waiting|medium|nominal,home|waiting|medium|nominal,6,0.0005106382978723404
