scenario,seed,episode,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop
nominal,17,8,8,32,55,60
degraded_ego,17,8,6,30,53,60
ambiguous_local_context,17,8,5,29,52,60
noisy_untrusted_external,17,8,6,30,53,60
nominal,17,9,7,31,54,60
degraded_ego,17,9,8,32,55,60
ambiguous_local_context,17,9,5,29,52,60
noisy_untrusted_external,17,9,8,32,55,60
nominal,17,10,8,32,55,60
degraded_ego,17,10,5,29,52,60
ambiguous_local_context,17,10,5,29,52,60
noisy_untrusted_external,17,10,7,31,54,60
nominal,17,11,7,31,54,60
degraded_ego,17,11,8,32,55,60
ambiguous_local_context,17,11,5,29,52,60
noisy_untrusted_external,17,11,5,29,52,60
nominal,17,12,6,30,53,60
degraded_ego,17,12,6,30,53,60
ambiguous_local_context,17,12,5,29,52,60
noisy_untrusted_external,17,12,7,31,54,60
nominal,17,13,5,29,52,60
degraded_ego,17,13,5,29,52,60
ambiguous_local_context,17,13,7,31,54,60
noisy_untrusted_external,17,13,6,30,53,60
nominal,17,14,5,29,52,60
degraded_ego,17,14,7,31,54,60
ambiguous_local_context,17,14,8,32,55,60
noisy_untrusted_external,17,14,5,29,52,60
nominal,17,15,8,32,55,60
degraded_ego,17,15,8,32,55,60
ambiguous_local_context,17,15,5,29,52,60
noisy_untrusted_external,17,15,7,31,54,60
nominal,17,16,5,29,52,60
degraded_ego,17,16,6,30,53,60
ambiguous_local_context,17,16,5,29,52,60
noisy_untrusted_external,17,16,5,29,52,60
nominal,17,17,5,29,52,60
degraded_ego,17,17,7,31,54,60
ambiguous_local_context,17,17,7,31,54,60
noisy_untrusted_external,17,17,8,32,55,60
nominal,17,18,5,29,52,60
degraded_ego,17,18,7,31,54,60
ambiguous_local_context,17,18,5,29,52,60
noisy_untrusted_external,17,18,5,29,52,60
nominal,17,19,7,31,54,60
degraded_ego,17,19,8,32,55,60
ambiguous_local_context,17,19,7,31,54,60
noisy_untrusted_external,17,19,8,32,55,60
nominal,17,20,5,29,52,60
degraded_ego,17,20,6,30,53,60
ambiguous_local_context,17,20,8,32,55,60
