scenario,policy,policy_label,seed,episode,overall_context_accuracy
nominal,opportunistic_all,Opportunistic all,13,46,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,13,47,0.875
nominal,opportunistic_all,Opportunistic all,13,48,0.7083333333333334
nominal,opportunistic_all,Opportunistic all,13,49,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,17,0,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,17,1,0.6666666666666666
nominal,opportunistic_all,Opportunistic all,17,2,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,17,3,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,17,4,0.9791666666666666
nominal,opportunistic_all,Opportunistic all,17,5,0.875
nominal,opportunistic_all,Opportunistic all,17,6,0.75
nominal,opportunistic_all,Opportunistic all,17,7,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,17,8,0.8125
nominal,opportunistic_all,Opportunistic all,17,9,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,17,10,0.6875
nominal,opportunistic_all,Opportunistic all,17,11,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,17,12,0.875
nominal,opportunistic_all,Opportunistic all,17,13,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,17,14,0.6458333333333334
nominal,opportunistic_all,Opportunistic all,17,15,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,17,16,0.875
nominal,opportunistic_all,Opportunistic all,17,17,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,17,18,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,17,19,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,17,20,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,17,21,0.8125
nominal,opportunistic_all,Opportunistic all,17,22,0.6041666666666666
nominal,opportunistic_all,Opportunistic all,17,23,0.8125
nominal,opportunistic_all,Opportunistic all,17,24,0.75
nominal,opportunistic_all,Opportunistic all,17,25,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,17,26,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,17,27,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,17,28,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,17,29,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,17,30,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,17,31,0.8125
nominal,opportunistic_all,Opportunistic all,17,32,0.875
nominal,opportunistic_all,Opportunistic all,17,33,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,17,34,0.9583333333333334
nominal,opportunistic_all,Opportunistic all,17,35,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,17,36,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,17,37,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,17,38,0.5833333333333334
nominal,opportunistic_all,Opportunistic all,17,39,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,17,40,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,17,41,0.8125
nominal,opportunistic_all,Opportunistic all,17,42,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,17,43,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,17,44,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,17,45,0.875
nominal,opportunistic_all,Opportunistic all,17,46,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,17,47,0.8125
nominal,opportunistic_all,Opportunistic all,17,48,0.8125
nominal,opportunistic_all,Opportunistic all,17,49,0.6875
nominal,opportunistic_all,Opportunistic all,19,0,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,19,1,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,19,2,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,19,3,0.9791666666666666
nominal,opportunistic_all,Opportunistic all,19,4,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,19,5,0.8125
nominal,opportunistic_all,Opportunistic all,19,6,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,19,7,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,19,8,0.8125
nominal,opportunistic_all,Opportunistic all,19,9,0.8125
nominal,opportunistic_all,Opportunistic all,19,10,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,19,11,0.5833333333333334
nominal,opportunistic_all,Opportunistic all,19,12,0.6875
nominal,opportunistic_all,Opportunistic all,19,13,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,19,14,0.875
nominal,opportunistic_all,Opportunistic all,19,15,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,19,16,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,19,17,0.6666666666666666
nominal,opportunistic_all,Opportunistic all,19,18,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,19,19,0.875
nominal,opportunistic_all,Opportunistic all,19,20,0.6666666666666666
nominal,opportunistic_all,Opportunistic all,19,21,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,19,22,0.8125
nominal,opportunistic_all,Opportunistic all,19,23,0.6666666666666666
nominal,opportunistic_all,Opportunistic all,19,24,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,19,25,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,19,26,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,19,27,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,19,28,0.6458333333333334
nominal,opportunistic_all,Opportunistic all,19,29,0.5833333333333334
