scenario,policy,policy_label,metric,mean,ci95_low,ci95_high,std,median,min,max
degraded_ego,opportunistic_all,Opportunistic all,visited_node_count,54.552,54.412,54.7,1.147415464858298,55.0,53.0,56.0
degraded_ego,opportunistic_all,Opportunistic all,traversed_edge_count,79.424,78.8476,80.0121,4.8928502874850945,79.0,66.0,92.0
degraded_ego,opportunistic_all,Opportunistic all,scored_candidate_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,opportunistic_all,Opportunistic all,discovered_candidate_count,53.552,53.42,53.692,1.147415464858298,54.0,52.0,55.0
degraded_ego,opportunistic_all,Opportunistic all,selected_source_count,53.552,53.4079,53.684,1.147415464858298,54.0,52.0,55.0
degraded_ego,opportunistic_all,Opportunistic all,estimated_latency,1.3296776177198293,1.326646404383971,1.3326506986022688,0.025226764718669258,1.3302107768994524,1.256737325699252,1.4000615198557502
degraded_ego,opportunistic_all,Opportunistic all,privacy_exposure_cost,8.507045907834817,8.458020248327655,8.553800980527903,0.37997559675448456,8.515586928220724,7.441541839046395,9.47864107699827
degraded_ego,opportunistic_all,Opportunistic all,discovery_cost,157.55159999999998,156.64698999999993,158.51181,7.27567724390175,157.27499999999998,135.5,179.1
degraded_ego,opportunistic_all,Opportunistic all,recruitment_cost,84.85807355021305,84.59067605520633,85.128154114892,2.0878293378369945,84.80196059787076,81.055557378895,88.68429886616116
degraded_ego,opportunistic_all,Opportunistic all,selection_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,opportunistic_all,Opportunistic all,total_operational_cost,242.40967355021306,241.39273820576318,243.4520383180352,8.133178683665031,242.58046340363222,217.6702312130101,266.52133561692506
degraded_ego,opportunistic_all,Opportunistic all,ego_missing_rate,0.52025,0.5158333333333334,0.5254796875,0.03965568407212291,0.5208333333333334,0.4114583333333333,0.6197916666666666
degraded_ego,opportunistic_all,Opportunistic all,macro_f1_place,0.9959950529701417,0.9924840418513455,0.9987499498701538,0.025412676862660643,1.0,0.8,1.0
degraded_ego,opportunistic_all,Opportunistic all,macro_f1_activity,0.8445842191749432,0.8345857041786938,0.8553708318018282,0.08740990214712833,0.8599316473000684,0.5466011466011466,0.9891575091575092
